epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,3257.39,1.18213,0.86079,1.20862,0.81666,0.81125,0.8322,0.50401,1.30151,0.90426,1.25216,0.000759318,0.000759318,0.000759318
57,3315.76,1.1913,0.83724,1.20231,0.8488,0.75823,0.79866,0.48017,1.37291,0.89695,1.31948,0.000742815,0.000742815,0.000742815
58,3373.28,1.13778,0.78343,1.17272,0.81427,0.73105,0.78959,0.478,1.36489,0.91317,1.30941,0.000726312,0.000726312,0.000726312
59,3444.46,1.20038,0.86435,1.21724,0.86584,0.77453,0.82605,0.48804,1.34854,0.89322,1.30961,0.000709809,0.000709809,0.000709809
60,3504.2,1.14994,0.82682,1.17196,0.80954,0.74492,0.79961,0.47941,1.31363,0.91397,1.28051,0.000693305,0.000693305,0.000693305
61,3565.48,1.13217,0.77773,1.1627,0.84591,0.72018,0.78143,0.44935,1.36741,0.93967,1.30358,0.000676802,0.000676802,0.000676802
62,3626.09,1.14797,0.78396,1.17675,0.79706,0.73649,0.79207,0.49392,1.29422,0.92256,1.2694,0.000660299,0.000660299,0.000660299
63,3685.56,1.17328,0.80083,1.17941,0.83708,0.76199,0.79814,0.47774,1.32566,0.92399,1.27073,0.000643795,0.000643795,0.000643795
64,3750.9,1.17288,0.79489,1.1903,0.88296,0.73105,0.79776,0.4985,1.27595,0.90518,1.25026,0.000627292,0.000627292,0.000627292
65,3811.29,1.15427,0.7906,1.17653,0.82858,0.71475,0.78469,0.47621,1.33209,0.93825,1.27339,0.000610789,0.000610789,0.000610789
66,3870.32,1.18657,0.7823,1.19399,0.78148,0.7281,0.76931,0.46126,1.39159,0.94712,1.33739,0.000594286,0.000594286,0.000594286
67,3930.74,1.15818,0.77335,1.15817,0.86436,0.7691,0.82205,0.49411,1.31666,0.91298,1.27377,0.000577782,0.000577782,0.000577782
68,3993.66,1.12855,0.76334,1.16946,0.73152,0.74689,0.73838,0.4414,1.37541,0.94392,1.32664,0.000561279,0.000561279,0.000561279
69,4057.58,1.13495,0.74603,1.16915,0.83654,0.75823,0.79727,0.47018,1.35044,0.91477,1.32,0.000544776,0.000544776,0.000544776
70,4119.62,1.08951,0.7475,1.1532,0.86098,0.73649,0.8055,0.4862,1.29582,0.88181,1.25836,0.000528272,0.000528272,0.000528272
71,4176.83,1.13487,0.75299,1.17235,0.83364,0.75823,0.78481,0.46855,1.381,0.89587,1.33741,0.000511769,0.000511769,0.000511769
72,4235.4,1.14354,0.75761,1.18374,0.8123,0.7691,0.77917,0.47174,1.35914,0.87825,1.31742,0.000495266,0.000495266,0.000495266
73,4295.37,1.12748,0.75249,1.15014,0.84816,0.75429,0.8038,0.47954,1.37248,0.88057,1.31293,0.000478762,0.000478762,0.000478762
